002680,0.000,0,1552575
300028,0.000,0,1557500
300104,0.000,0,1557500
300216,0.000,0,1557500
000939,0.000,0,1557500
000995,0.000,0,1557500
002604,0.000,0,1557846
002260,0.000,0,1557846
600074,1.040,0,1568192
600610,3.260,0,1568192
600022,1.540,33083470,1568214
600959,4.450,8103893,1568214
600290,4.450,14937331,1568214
600146,20.280,18224991,1568214
600122,3.040,22327956,1568214
600162,2.480,18765806,1568214
600222,4.810,8986134,1568214
600121,2.540,5223381,1568214
600118,23.940,11507037,1568214
600695,6.210,29858973,1568214
600161,27.510,6547481,1568214
600159,2.650,4670811,1568214
600112,2.530,4310300,1568214
600109,9.490,40253843,1568214
600061,13.710,23959951,1568214
600158,10.760,11532209,1568214
600176,8.700,18063558,1568214
600180,8.470,10509146,1568214
600688,4.320,8909630,1568214
600008,3.540,16059608,1568214
600016,6.150,69218514,1568214
600192,5.840,14109540,1568214
600203,6.440,9596104,1568214
600126,4.230,4851905,1568214
600150,24.450,16655819,1568214
600099,7.130,3025947,1568214
600133,5.650,7655739,1568214
600241,5.660,2359885,1568214
600060,8.070,16642326,1568214
600086,3.520,44049837,1568214
600189,4.000,2680037,1568214
600200,5.430,7476301,1568214
600071,12.540,11103329,1568214
600000,11.950,39063654,1568214
600215,6.910,2733250,1568214
600070,8.620,11539976,1568214
600058,8.240,3382202,1568214
600011,6.360,13347012,1568214
600004,19.850,10935581,1568214
600769,6.650,3319288,1568214
600179,3.930,18822015,1568214
600135,7.470,3767438,1568214
600010,1.540,124753695,1568214
600770,5.920,13645385,1568214
600297,4.050,8123837,1568214
600007,16.790,1041600,1568214
600265,26.090,83760,1568214
600809,72.130,10052470,1568214
600152,6.900,24622284,1568214
600235,5.050,15973042,1568214
600208,3.080,46616136,1568214
600123,6.860,8625176,1568214
600563,39.970,1645642,1568214
600262,20.840,328500,1568214
600066,15.100,11619797,1568214
600023,4.070,20300552,1568214
600170,3.550,28242709,1568214
600114,6.740,36409546,1568214
600247,3.940,1057338,1568214
600366,7.490,37739672,1568214
600191,5.840,6970081,1568214
600137,15.630,525601,1568214
600168,6.940,2044001,1568214
600173,4.550,3727161,1568214
600285,8.560,5284053,1568214
600113,7.710,15596725,1568214
600396,1.730,4355800,1568214
600667,8.080,39580996,1568214
600308,4.370,21773019,1568214
600198,12.300,26735643,1568214
600186,1.560,6133600,1568214
600059,8.890,14898087,1568214
600052,6.460,148491426,1568214
600067,4.300,2422960,1568214
600299,11.110,6628313,1568214
600466,6.050,13790449,1568214
600288,11.060,3810854,1568214
600076,4.470,9849200,1568214
600072,17.690,45691824,1568214
600217,5.650,16740782,1568214
600206,11.910,40669881,1568214
600679,12.830,2460201,1568214
600037,10.090,6546041,1568214
600273,12.700,42317361,1568214
600295,8.430,11317132,1568214
600199,6.710,19739865,1568214
600089,6.790,17003252,1568214
600018,6.040,43101633,1568214
600131,19.190,16728893,1568214
600293,4.170,20994974,1568214
600307,1.980,15717912,1568214
600084,2.380,7158401,1568214
600234,8.760,122300,1568214
600096,5.600,11091523,1568214
600284,6.630,9370779,1568214
600195,17.120,44812097,1568214
600188,11.400,21393094,1568214
600184,12.660,4484781,1568214
600409,5.420,13338019,1568214
600250,7.220,2132400,1568214
600030,24.390,201602203,1568214
600105,4.470,12895848,1568214
600166,2.190,54831004,1568214
600048,13.950,52080148,1568214
600242,8.590,13420912,1568214
600175,2.250,145173329,1568214
600532,4.290,11399202,1568214
600035,3.460,17225630,1568214
600240,0.940,81608414,1568214
600094,7.600,42811670,1568214
600019,6.140,27879522,1568214
600153,9.050,13806816,1568214
600157,1.610,180531785,1568214
600237,4.150,10724999,1568214
600160,7.490,18682431,1568214
600077,2.580,10233644,1568214
600210,3.860,11508846,1568214
600212,4.150,14401472,1568214
600478,4.740,33715267,1568214
600267,10.890,10142103,1568214
600225,3.560,49780295,1568214
600735,6.010,9973100,1568214
600107,7.130,15493981,1568214
600259,35.930,7861366,1568214
600281,4.810,6246556,1568214
600626,7.070,10015404,1568214
600617,5.240,2204322,1568214
600029,6.870,27612012,1568214
600101,6.570,2190201,1568214
600149,5.670,3105784,1568214
600055,10.300,3971644,1568214
600338,13.170,15837221,1568214
600098,6.250,1906200,1568214
600148,15.510,1512300,1568214
600232,6.080,4744458,1568214
600233,12.260,9230876,1568214
600155,14.140,53555225,1568214
600556,8.170,3185400,1568214
600303,3.920,7289500,1568214
600141,11.250,15088700,1568214
600111,11.940,59251591,1568214
600073,9.330,14676514,1568214
600280,3.410,5066500,1568214
600630,7.350,3682317,1568214
600794,4.320,24973176,1568214
600566,30.210,4577525,1568214
600279,4.450,13288228,1568214
600230,12.990,8182114,1568214
600128,8.000,12208538,1568214
600246,3.960,1643540,1568214
600602,8.470,11419568,1568214
600616,5.520,6384901,1568214
600138,12.940,14854862,1568214
600266,7.370,8320401,1568214
600178,5.270,6567769,1568214
600276,78.090,23722886,1568214
600130,3.900,13183824,1568214
600269,4.250,8276541,1568214
600177,6.460,6934949,1568214
600020,4.500,17216368,1568214
600069,2.830,50446753,1568214
600678,5.170,8754756,1568214
600641,12.280,6664840,1568214
600171,16.800,34999772,1568214
600393,2.740,50812536,1568214
600329,14.740,5208075,1568214
300430,8.870,10498845,1568214
600306,6.090,2150075,1568214
600143,7.040,145295024,1568214
600207,5.070,12884357,1568214
600592,17.890,2869136,1568214
600271,22.840,25883691,1568214
600236,4.690,5919160,1568214
